"study;""expr_bool"";""snv_bool"";""cna_bool"";""cin_bool"";""coverage"";""indel_bool"";""mutsig_bool"";""WES.comment"""
"Braun;TRUE;TRUE;FALSE;FALSE;50;TRUE;FALSE;""WES: SureSelectXT v5 Kit (Agilent)"""
Fumet.1;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;NA
Fumet.2;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;NA
"Gide;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Hugo;TRUE;FALSE;FALSE;FALSE;64;TRUE;FALSE;""WES : Roche NimbleGen SeqCap EZ Human Exome Library v3.0 system"""
Hwang;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;NA
"INSPIRE;TRUE;FALSE;FALSE;FALSE;50;FALSE;FALSE;"""""
Jerby_Arnon;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;NA
"Jung;TRUE;TRUE;FALSE;FALSE;50;FALSE;FALSE;""WES : SureSelectXT Human All Exon V5 (Agilent, 5190Ð6209)"""
"Liu;TRUE;TRUE;TRUE;FALSE;50;TRUE;FALSE;""?WES : SureSelectXT Human All Exon 50Mb"""
"Mariathasan;TRUE;TRUE;TRUE;FALSE;0.793;FALSE;FALSE;""TGS : FMOne panel (Foundation Medicine, Inc.) (https://www.accessdata.fda.gov/cdrh_docs/pdf17/P170019B.pdf)"""
"Miao.1;TRUE;TRUE;FALSE;FALSE;50;TRUE;FALSE;""WES : SureSelectXT Human All Exon 50Mb"""
"Miao.2;FALSE;TRUE;TRUE;FALSE;50;TRUE;FALSE;""WES : SureSelectXT Human All Exon 50Mb"""
"Nathanson;TRUE;TRUE;FALSE;FALSE;60;TRUE;FALSE;""No info"""
"Padron;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Puch;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Riaz;TRUE;TRUE;FALSE;FALSE;67.3;FALSE;FALSE;""WES : Agilent SureSelect All Exon V2"""
"Rizvi.15;FALSE;TRUE;TRUE;FALSE;67.3;FALSE;FALSE;""WES : Agilent SureSelect All Exon V2"""
"Rizvi.18;FALSE;TRUE;TRUE;FALSE;0.98;TRUE;FALSE;""TGS : Mix of MSK IMPACT341 , MSK IMPACT410 , MSK IMPACT468 """
"Roh;TRUE;TRUE;FALSE;FALSE;60;FALSE;FALSE;""WES : Agilent SureSelectXT Target Enrichment"""
"Samstein;FALSE;TRUE;TRUE;FALSE;0.98;TRUE;FALSE;""TGS : Mix of MSK IMPACT341 , MSK IMPACT410 , MSK IMPACT468 """
"Shiuan;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Snyder;TRUE;FALSE;FALSE;FALSE;34;FALSE;FALSE;""WES: xGen Exome Research Panel v2"""
"Van_Allen;TRUE;TRUE;FALSE;FALSE;64;TRUE;FALSE;""WES : Roche NimbleGen SeqCap EZ Human Exome Library v3.0 system"""
"Gide;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"INSPIRE;TRUE;FALSE;FALSE;FALSE;50;FALSE;FALSE;"""""
"Kim;TRUE;FALSE;FALSE;FALSE;50;FALSE;FALSE;"""""
"Puch;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Shiuan;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"VanDenEnde;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Ravi;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Thibaudin;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Zhao;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Wolf;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Auslander;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Damrauer;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Cloughesy;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"IMmotion150;TRUE;TRUE;FALSE;FALSE;81.06;FALSE;FALSE;""WES: Agilent SureSelect v5 (51 MB) on HiSeq 2500 (Illumina)"""
"Abacus;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Prat;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Ascierto;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
"Wolf2;TRUE;FALSE;FALSE;FALSE;NA;FALSE;FALSE;"""""
